,zipcode,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
11,80016,Coffee Shop,Pizza Place,Salon / Barbershop,Sandwich Place,Pharmacy,Park,Mexican Restaurant,Arts & Crafts Store,Grocery Store,Convenience Store
12,80017,Park,Convenience Store,Italian Restaurant,Pizza Place,Grocery Store,Bank,Shipping Store,Mexican Restaurant,Auto Garage,Liquor Store
13,80018,Golf Course,Intersection,Convenience Store,Home Service,Fondue Restaurant,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service
14,80019,Sandwich Place,Intersection,Zoo,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot
15,80020,Park,Golf Course,Soccer Field,Mexican Restaurant,Gym / Fitness Center,Liquor Store,Burrito Place,Dog Run,Fast Food Restaurant,Film Studio
16,80021,Park,Trail,Convenience Store,Fast Food Restaurant,Shipping Store,Sandwich Place,Pizza Place,Chinese Restaurant,Bank,Gym / Fitness Center
17,80022,Mexican Restaurant,Convenience Store,Gas Station,Discount Store,Sandwich Place,Donut Shop,Theme Park,Baseball Field,Park,Bakery
18,80026,Coffee Shop,Sandwich Place,Pizza Place,Mexican Restaurant,Salon / Barbershop,Grocery Store,Fast Food Restaurant,Farmers Market,Convenience Store,Chinese Restaurant
19,80027,Sandwich Place,Italian Restaurant,Coffee Shop,Liquor Store,Mexican Restaurant,Hotel,Indian Restaurant,Japanese Restaurant,Multiplex,Noodle House
20,80030,ATM,Donut Shop,Pet Store,Convenience Store,Clothing Store,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot
21,80031,Gym,Golf Course,Steakhouse,Fast Food Restaurant,Playground,Convenience Store,Coffee Shop,Shipping Store,Mexican Restaurant,Salon / Barbershop
22,80033,Pool,Gas Station,Convenience Store,Gym,Gym / Fitness Center,Fast Food Restaurant,Baseball Field,Bar,Thrift / Vintage Store,Garden Center
23,80045,Brewery,Pharmacy,Café,Coffee Shop,American Restaurant,Zoo,Fondue Restaurant,Fast Food Restaurant,Film Studio,Financial or Legal Service
24,80102,Fast Food Restaurant,Sandwich Place,Business Service,Rental Car Location,Diner,Discount Store,Grocery Store,Liquor Store,Truck Stop,Coffee Shop
25,80103,Pharmacy,Burger Joint,Convenience Store,Basketball Court,Home Service,Laundromat,Zoo,Flower Shop,Farmers Market,Fast Food Restaurant
26,80104,American Restaurant,Coffee Shop,Pizza Place,Sandwich Place,Fast Food Restaurant,Salon / Barbershop,Spa,Antique Shop,Burger Joint,Grocery Store
27,80105,Rest Area,Gas Station,Convenience Store,Pizza Place,Zoo,Fondue Restaurant,Farm,Farmers Market,Fast Food Restaurant,Film Studio
28,80106,Campground,Food,Construction & Landscaping,Home Service,Fondue Restaurant,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service
29,80107,Construction & Landscaping,Fast Food Restaurant,Business Service,Sandwich Place,Chinese Restaurant,Grocery Store,Pizza Place,Coffee Shop,Food & Drink Shop,Farm
30,80108,Pizza Place,Coffee Shop,Golf Course,Salon / Barbershop,Gas Station,Italian Restaurant,Fast Food Restaurant,Grocery Store,Mexican Restaurant,Snack Place
31,80109,Golf Course,Fast Food Restaurant,Trail,Construction & Landscaping,Pool,Cocktail Bar,Clothing Store,Photography Studio,Home Service,Playground
32,80110,Mexican Restaurant,Pizza Place,Video Store,Pet Store,Sandwich Place,Breakfast Spot,Gym / Fitness Center,Gas Station,Shipping Store,Convenience Store
33,80111,Hotel,Sandwich Place,Park,Coffee Shop,Bar,BBQ Joint,Bagel Shop,Liquor Store,Food Truck,Lounge
34,80112,Hotel,Furniture / Home Store,Breakfast Spot,Mexican Restaurant,Coffee Shop,Pizza Place,Deli / Bodega,Seafood Restaurant,Shipping Store,Fast Food Restaurant
35,80116,Trail,State / Provincial Park,Farm,Fondue Restaurant,Falafel Restaurant,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot
36,80117,Breakfast Spot,Bar,Pizza Place,American Restaurant,Food & Drink Shop,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot,Fishing Store
37,80118,Park,Bar,Event Space,Liquor Store,Pizza Place,Arts & Crafts Store,Zoo,Farm,Fast Food Restaurant,Film Studio
38,80120,Park,Food,Construction & Landscaping,History Museum,Garden,French Restaurant,Forest,Farm,Farmers Market,Fast Food Restaurant
39,80121,Clothing Store,Park,Italian Restaurant,Furniture / Home Store,Bakery,Gym,Medical Supply Store,Grocery Store,Greek Restaurant,Mobile Phone Shop
40,80122,Burger Joint,Bank,Snack Place,Coffee Shop,Sandwich Place,Mexican Restaurant,Park,Gas Station,Grocery Store,Bakery
41,80123,Furniture / Home Store,Park,Breakfast Spot,Liquor Store,Baseball Field,Shoe Store,Seafood Restaurant,Hardware Store,Burger Joint,Mexican Restaurant
42,80124,Fast Food Restaurant,Trail,Home Service,Golf Course,Video Store,Playground,Food,Financial or Legal Service,Sandwich Place,Dentist's Office
43,80125,Trail,Pizza Place,Skate Park,Coffee Shop,Sandwich Place,State / Provincial Park,Park,Gym,Fast Food Restaurant,Asian Restaurant
44,80126,Performing Arts Venue,Pharmacy,Mattress Store,Video Game Store,Clothing Store,Food,Hobby Shop,Construction & Landscaping,Spa,Park
45,80127,Pizza Place,Coffee Shop,Fast Food Restaurant,Pharmacy,Mexican Restaurant,Bar,Salon / Barbershop,Grocery Store,Park,Sushi Restaurant
46,80128,Italian Restaurant,Pharmacy,Fast Food Restaurant,Grocery Store,Baseball Field,Park,Coffee Shop,Video Store,New American Restaurant,Mexican Restaurant
47,80129,Paper / Office Supplies Store,Hardware Store,Sandwich Place,Salon / Barbershop,Asian Restaurant,Fast Food Restaurant,Gym,Dry Cleaner,Liquor Store,Mexican Restaurant
48,80130,Furniture / Home Store,Soccer Field,Mexican Restaurant,Health & Beauty Service,Pharmacy,Photography Studio,Liquor Store,Historic Site,Sandwich Place,Park
49,80132,Pizza Place,Sandwich Place,Fast Food Restaurant,Mexican Restaurant,Bar,Coffee Shop,American Restaurant,Ice Cream Shop,Grocery Store,Thrift / Vintage Store
50,80133,Trail,Italian Restaurant,American Restaurant,Café,Bar,Lake,Pizza Place,Hotel,Coffee Shop,Ice Cream Shop
51,80134,Fast Food Restaurant,Breakfast Spot,Pizza Place,Coffee Shop,Gym,Bakery,Brewery,Mexican Restaurant,Sandwich Place,Asian Restaurant
52,80135,Bar,Locksmith,Scenic Lookout,Outdoor Sculpture,Zoo,Flower Shop,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service
53,80136,Sandwich Place,Construction & Landscaping,Park,Mexican Restaurant,Campground,Liquor Store,Farm,Food Truck,Fishing Spot,Farmers Market
54,80138,Construction & Landscaping,Business Service,Trail,Pool,Video Store,Tennis Stadium,Golf Course,Playground,Trade School,Fast Food Restaurant
55,80202,Mexican Restaurant,American Restaurant,Cocktail Bar,Steakhouse,Hotel,Bar,Restaurant,Pizza Place,Coffee Shop,Plaza
56,80203,Coffee Shop,Bar,Pizza Place,Ski Shop,Park,Gym / Fitness Center,Mexican Restaurant,Gym,Bed & Breakfast,Marijuana Dispensary
57,80204,Bar,Food Truck,Mexican Restaurant,Sports Bar,Hot Dog Joint,Theater,Gym,Grocery Store,Event Space,Marijuana Dispensary
58,80205,Grocery Store,Liquor Store,History Museum,Dog Run,Mexican Restaurant,Baseball Field,Bar,Park,French Restaurant,Café
59,80206,Italian Restaurant,Dry Cleaner,Park,Chinese Restaurant,Gift Shop,American Restaurant,Coffee Shop,Grocery Store,Greek Restaurant,Fast Food Restaurant
60,80207,Park,Business Service,Mexican Restaurant,Gym / Fitness Center,Lounge,Gym,Liquor Store,Athletics & Sports,Arts & Crafts Store,Bistro
61,80209,Boutique,Yoga Studio,Coffee Shop,American Restaurant,Italian Restaurant,Restaurant,Spa,Burger Joint,Bike Trail,Flower Shop
62,80210,Coffee Shop,Sandwich Place,Pizza Place,Bar,Breakfast Spot,Bank,Café,Mexican Restaurant,Mediterranean Restaurant,Japanese Restaurant
63,80211,Mexican Restaurant,Pizza Place,Italian Restaurant,Burger Joint,Convenience Store,Breakfast Spot,Restaurant,Trade School,Coffee Shop,Bakery
64,80212,Coffee Shop,Pizza Place,Breakfast Spot,Sandwich Place,Liquor Store,Mexican Restaurant,Brewery,Music Venue,Bar,American Restaurant
65,80214,Marijuana Dispensary,Mexican Restaurant,Pizza Place,Mobile Phone Shop,Fast Food Restaurant,Salon / Barbershop,Gym / Fitness Center,Grocery Store,Bank,Coffee Shop
66,80215,Coffee Shop,Grocery Store,Sandwich Place,Bakery,Bank,Fast Food Restaurant,Thai Restaurant,Gym,Italian Restaurant,Astrologer
67,80216,Marijuana Dispensary,Music Venue,Pharmacy,Farm,Park,Steakhouse,Thrift / Vintage Store,Moving Target,Mexican Restaurant,Intersection
68,80218,Park,Liquor Store,Coffee Shop,Track,Video Store,Bar,Bike Rental / Bike Share,Sandwich Place,Salon / Barbershop,Asian Restaurant
69,80219,Vietnamese Restaurant,Grocery Store,Thai Restaurant,Chinese Restaurant,ATM,Hobby Shop,Museum,Supermarket,Taco Place,Café
70,80220,Coffee Shop,Liquor Store,Marijuana Dispensary,ATM,Fast Food Restaurant,Dry Cleaner,Hardware Store,Convenience Store,Park,Pharmacy
71,80221,Casino,Department Store,Mexican Restaurant,Home Service,Pizza Place,Brewery,Fried Chicken Joint,Storage Facility,Business Service,Taco Place
72,80222,Concert Hall,Burger Joint,Pub,Video Store,Coffee Shop,Zoo,Fondue Restaurant,Farm,Farmers Market,Fast Food Restaurant
73,80223,Marijuana Dispensary,Convenience Store,Breakfast Spot,Home Service,Brewery,Garden Center,Gas Station,Bookstore,Miscellaneous Shop,Gym
74,80224,Park,Gym / Fitness Center,Rugby Pitch,Zoo,Flower Shop,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service
75,80226,Clothing Store,Fast Food Restaurant,Pizza Place,Coffee Shop,Tex-Mex Restaurant,Sandwich Place,Video Game Store,Mexican Restaurant,Cosmetics Shop,Grocery Store
76,80227,Food,Park,Pizza Place,Convenience Store,Vegetarian / Vegan Restaurant,Carpet Store,Furniture / Home Store,Liquor Store,Coffee Shop,Video Store
77,80228,Coffee Shop,Trail,Fast Food Restaurant,Gym,Pizza Place,Italian Restaurant,Bank,Baseball Field,Mexican Restaurant,Liquor Store
78,80229,Convenience Store,Locksmith,Liquor Store,Pizza Place,Ice Cream Shop,Farmers Market,Trail,Herbs & Spices Store,Park,Business Service
79,80230,Italian Restaurant,Ice Cream Shop,Mexican Restaurant,Health & Beauty Service,Liquor Store,Bagel Shop,Gym / Fitness Center,Theater,Gym,Grocery Store
80,80231,Grocery Store,Halal Restaurant,Mexican Restaurant,Thai Restaurant,Pizza Place,Light Rail Station,Food,Medical Center,Zoo,Farmers Market
81,80232,Breakfast Spot,Martial Arts Dojo,Shop & Service,Thrift / Vintage Store,Bar,Falafel Restaurant,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service
82,80233,Gym,Brewery,Bakery,Park,Liquor Store,Pizza Place,Italian Restaurant,Arts & Crafts Store,Gym / Fitness Center,Bar
83,80234,Sandwich Place,Massage Studio,Italian Restaurant,Salad Place,Fast Food Restaurant,Event Space,Pizza Place,Middle Eastern Restaurant,Park,Hookah Bar
84,80235,Hotel,Mexican Restaurant,American Restaurant,Donut Shop,Sushi Restaurant,Bar,Asian Restaurant,Motel,Golf Course,Fast Food Restaurant
85,80236,Park,Athletics & Sports,Bar,Trail,Zoo,Flower Shop,Farm,Farmers Market,Fast Food Restaurant,Film Studio
86,80237,Martial Arts Dojo,Construction & Landscaping,Gym,Pool,Zoo,Flower Shop,Farm,Farmers Market,Fast Food Restaurant,Film Studio
87,80238,Restaurant,Zoo,Fondue Restaurant,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot
88,80239,Baseball Field,Park,Playground,Home Service,Zoo,Flea Market,Farm,Farmers Market,Fast Food Restaurant,Film Studio
89,80241,Park,Trail,Lake,Bakery,Chinese Restaurant,Mexican Restaurant,Auto Garage,Liquor Store,Pizza Place,Home Service
90,80246,Park,Pet Store,Gym,Marijuana Dispensary,Mexican Restaurant,Tanning Salon,Thrift / Vintage Store,Casino,Spa,Gym / Fitness Center
91,80247,Pool,Bus Stop,Restaurant,Gym,Locksmith,Beach,Korean Restaurant,Farmers Market,Fast Food Restaurant,Film Studio
92,80249,Park,Sandwich Place,Pizza Place,Asian Restaurant,Golf Course,American Restaurant,Liquor Store,Recreation Center,Film Studio,Flea Market
93,80260,Mexican Restaurant,Construction & Landscaping,Pizza Place,Print Shop,Home Service,Food,Discount Store,Convenience Store,Diner,Wine Bar
94,80301,Baseball Field,Food Truck,Dog Run,Mexican Restaurant,Gym / Fitness Center,Trail,Tea Room,Café,Coffee Shop,Motel
95,80302,Trail,American Restaurant,Ice Cream Shop,Sandwich Place,Mexican Restaurant,New American Restaurant,Park,Pizza Place,Coffee Shop,Italian Restaurant
96,80303,Sporting Goods Shop,Sandwich Place,Playground,Indian Restaurant,Trail,Ice Cream Shop,Gym / Fitness Center,Liquor Store,Bus Line,Bus Station
97,80304,Park,Italian Restaurant,Diner,Theater,Breakfast Spot,Café,Shipping Store,Construction & Landscaping,Convenience Store,Restaurant
98,80305,Sporting Goods Shop,Liquor Store,Pizza Place,Park,Lake,Bus Stop,Brewery,Bakery,Bank,Locksmith
99,80401,Coffee Shop,Mexican Restaurant,Clothing Store,Trail,Golf Course,Grocery Store,Sushi Restaurant,Pizza Place,Salon / Barbershop,Juice Bar
100,80403,Restaurant,Campground,Park,Zoo,Flower Shop,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service
101,80420,Garden Center,Bar,Convenience Store,Coffee Shop,Food,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot
102,80421,Campground,Food,Gas Station,Marijuana Dispensary,Disc Golf,Construction & Landscaping,Outdoors & Recreation,Pizza Place,Video Store,Flea Market
103,80422,Casino,Restaurant,American Restaurant,Coffee Shop,Café,BBQ Joint,Steakhouse,Nightclub,Opera House,Campground
104,80424,Ski Area,American Restaurant,Hotel,Coffee Shop,Bar,Pizza Place,Ski Lodge,Restaurant,Ski Chairlift,Beer Garden
105,80425,Trail,Mountain,Fondue Restaurant,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot
106,80428,Trail,Harbor / Marina,Campground,Café,American Restaurant,Lake,Fondue Restaurant,Farmers Market,Fast Food Restaurant,Film Studio
107,80432,Restaurant,Campground,IT Services,Gun Shop,Zoo,Flower Shop,Farm,Farmers Market,Fast Food Restaurant,Film Studio
108,80433,Coffee Shop,Mexican Restaurant,Trail,Italian Restaurant,Juice Bar,Sandwich Place,Salon / Barbershop,Restaurant,Pizza Place,Paper / Office Supplies Store
109,80435,Ski Area,Hotel,Pizza Place,Coffee Shop,American Restaurant,Resort,Bar,Dessert Shop,Golf Course,Liquor Store
110,80438,Breakfast Spot,Burger Joint,Business Service,Coffee Shop,Ski Trail,Marijuana Dispensary,American Restaurant,Forest,Convenience Store,BBQ Joint
111,80439,American Restaurant,Coffee Shop,Pizza Place,Park,Bar,Breakfast Spot,Fast Food Restaurant,Ice Cream Shop,Indie Theater,Liquor Store
112,80440,Restaurant,Sandwich Place,BBQ Joint,Hotel,Gas Station,Café,Grocery Store,Bed & Breakfast,Coffee Shop,History Museum
113,80442,Ski Area,Mexican Restaurant,Liquor Store,Sporting Goods Shop,Burger Joint,Department Store,Coffee Shop,Soccer Field,Gas Station,Motel
114,80443,American Restaurant,Coffee Shop,Bar,Ski Chairlift,Board Shop,Theme Park Ride / Attraction,Campground,Ski Area,Trail,Ski Chalet
115,80444,Train Station,Trail,Coffee Shop,Bar,Marijuana Dispensary,Café,Scenic Lookout,Platform,Food Service,Food Court
116,80446,Café,Gas Station,Lake,Italian Restaurant,Train Station,American Restaurant,Asian Restaurant,Campground,Construction & Landscaping,Convenience Store
117,80448,Trail,Motel,Campground,Scenic Lookout,Bed & Breakfast,BBQ Joint,Forest,Frozen Yogurt Shop,Farmers Market,Fast Food Restaurant
118,80452,Brewery,Coffee Shop,Gas Station,Trail,Cosmetics Shop,Theme Park,Bar,Mexican Restaurant,Steakhouse,Rafting
119,80459,Campground,Farm,Home Service,Mountain,Fondue Restaurant,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot
120,80461,Gas Station,Mexican Restaurant,Hotel,American Restaurant,Trail,Pizza Place,Discount Store,Scenic Lookout,Sandwich Place,Motel
121,80465,Trail,Construction & Landscaping,Intersection,Sandwich Place,Steakhouse,Mountain,Golf Course,Park,Bar,Bakery
122,80466,Coffee Shop,Brewery,Pizza Place,Park,Supermarket,Bakery,Ice Cream Shop,Trail,Thai Restaurant,Lake
123,80467,Business Service,Market,Bar,Harbor / Marina,Café,Flower Shop,Fondue Restaurant,Fast Food Restaurant,Film Studio,Financial or Legal Service
124,80469,Flower Shop,Zoo,Food,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot,Fishing Store
125,80470,Construction & Landscaping,Gas Station,Gym,Trail,Park,Lake,Hotel,American Restaurant,Campground,Convenience Store
126,80478,Trail,American Restaurant,Mountain,Soccer Field,Marijuana Dispensary,Liquor Store,Stables,Diner,Disc Golf,Fast Food Restaurant
127,80480,Trail,Gas Station,Café,Pizza Place,American Restaurant,Fishing Store,Hotel,Grocery Store,Flea Market,Farm
128,80481,Trail,Food,Campground,Recording Studio,Fondue Restaurant,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service
129,80483,Hotel,Trail,Café,Fishing Spot,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Store
130,80487,American Restaurant,Hotel,Ski Area,Mexican Restaurant,Resort,Brewery,Pizza Place,Pub,Coffee Shop,Trail
131,80498,Trail,Sandwich Place,Airport,Home Service,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Film Studio
132,80501,Brewery,Convenience Store,Coffee Shop,Rental Car Location,American Restaurant,Mexican Restaurant,Bank,Chinese Restaurant,Bakery,Pizza Place
133,80503,Coffee Shop,Grocery Store,Mexican Restaurant,Construction & Landscaping,Park,Pizza Place,Japanese Restaurant,Lake,Airport,Burger Joint
134,80504,Fast Food Restaurant,Hotel,Gas Station,Convenience Store,Brewery,Sandwich Place,BBQ Joint,Coffee Shop,Park,Fried Chicken Joint
135,80510,Hotel,Park,Campground,Art Gallery,Fondue Restaurant,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot
136,80512,Campground,Ski Area,Lake,Trail,Zoo,Flower Shop,Farm,Farmers Market,Fast Food Restaurant,Film Studio
137,80513,Brewery,Pizza Place,American Restaurant,Breakfast Spot,Home Service,Mexican Restaurant,Grocery Store,Fast Food Restaurant,Marijuana Dispensary,Coffee Shop
138,80514,Gas Station,Burger Joint,Home Service,Tree,Donut Shop,American Restaurant,Convenience Store,Discount Store,Market,Thai Restaurant
139,80516,Brewery,Coffee Shop,Baseball Field,Mexican Restaurant,Bank,Football Stadium,Gym / Fitness Center,Bistro,Food Truck,Pub
140,80517,Hotel,Resort,Motel,Trail,American Restaurant,Tourist Information Center,Coffee Shop,Italian Restaurant,Café,Bed & Breakfast
141,80521,Pizza Place,Convenience Store,Fast Food Restaurant,Mexican Restaurant,Video Store,Sandwich Place,Mediterranean Restaurant,Gas Station,Coffee Shop,Baseball Field
142,80524,Brewery,Coffee Shop,American Restaurant,Bar,Café,Candy Store,Sandwich Place,Mexican Restaurant,Pub,Pizza Place
143,80525,Pizza Place,Mexican Restaurant,Hotel,Sandwich Place,American Restaurant,Gas Station,Convenience Store,Fast Food Restaurant,Coffee Shop,Italian Restaurant
144,80526,Park,Pizza Place,Sandwich Place,Movie Theater,Bar,Gas Station,Coffee Shop,Gym / Fitness Center,Convenience Store,Donut Shop
145,80528,Video Store,Harbor / Marina,Park,Gym,Flower Shop,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service
146,80530,Clothing Store,Zoo,Factory,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot,Fishing Store
147,80534,Mexican Restaurant,Fast Food Restaurant,Sandwich Place,Home Service,Park,Convenience Store,Pizza Place,Athletics & Sports,Coffee Shop,Grocery Store
148,80535,Gas Station,Music Venue,Campground,Thrift / Vintage Store,History Museum,Fondue Restaurant,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service
149,80537,Fast Food Restaurant,Coffee Shop,Brewery,American Restaurant,Mexican Restaurant,Grocery Store,Pizza Place,Liquor Store,Sandwich Place,Gas Station
150,80538,Fast Food Restaurant,Pizza Place,Coffee Shop,Grocery Store,Convenience Store,Mexican Restaurant,Pharmacy,Gas Station,Sandwich Place,Brewery
151,80540,Trail,Bakery,IT Services,American Restaurant,Food,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service
152,80542,Home Service,Pet Store,Construction & Landscaping,BBQ Joint,Zoo,Flower Shop,Farm,Farmers Market,Fast Food Restaurant,Film Studio
153,80543,Factory,Gym / Fitness Center,Breakfast Spot,Baseball Field,Diner,Ice Cream Shop,Convenience Store,Discount Store,American Restaurant,Flower Shop
154,80545,Campground,Lake,Resort,Restaurant,Golf Course,Zoo,Fondue Restaurant,Farm,Farmers Market,Fast Food Restaurant
155,80547,Accessories Store,Brewery,Construction & Landscaping,Spa,Home Service,Zoo,Food,Farmers Market,Fast Food Restaurant,Film Studio
156,80549,Farm,Lake,Baseball Field,Airport Service,Construction & Landscaping,Tree,Food,Farmers Market,Fast Food Restaurant,Film Studio
157,80550,Gas Station,Pizza Place,Sandwich Place,Coffee Shop,Donut Shop,Bank,Park,American Restaurant,Fast Food Restaurant,Mexican Restaurant
158,80601,Mexican Restaurant,Fast Food Restaurant,Brewery,American Restaurant,Pizza Place,Hotel,Coffee Shop,Sandwich Place,Salon / Barbershop,Liquor Store
159,80602,Construction & Landscaping,Convenience Store,Golf Course,Business Service,Tree,Disc Golf,Home Service,Soccer Field,Airport,Fishing Spot
160,80603,Airport Food Court,Airport Terminal,School,Gun Range,Zoo,Fondue Restaurant,Farm,Farmers Market,Fast Food Restaurant,Film Studio
161,80615,Fast Food Restaurant,Rental Service,Video Store,Golf Course,Other Repair Shop,Grocery Store,Basketball Court,Gym,Mexican Restaurant,Sandwich Place
162,80620,Business Service,Gym / Fitness Center,Gym,Convenience Store,Seafood Restaurant,Film Studio,Coffee Shop,Video Store,Zoo,Farm
163,80621,Mexican Restaurant,Sandwich Place,Fast Food Restaurant,Golf Course,Pizza Place,Italian Restaurant,Grocery Store,Coffee Shop,Motel,Asian Restaurant
164,80623,Martial Arts Dojo,Zoo,Factory,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot,Fishing Store
165,80631,Coffee Shop,Mexican Restaurant,Pizza Place,Sandwich Place,Italian Restaurant,Fast Food Restaurant,Convenience Store,Chinese Restaurant,Brewery,Steakhouse
166,80634,Coffee Shop,Fast Food Restaurant,Mexican Restaurant,Sandwich Place,Pizza Place,Cosmetics Shop,Grocery Store,Liquor Store,American Restaurant,Mobile Phone Shop
167,80640,Intersection,Construction & Landscaping,Gym / Fitness Center,Fast Food Restaurant,Grocery Store,Coffee Shop,Home Service,Sandwich Place,Toy / Game Store,Convenience Store
168,80642,Sandwich Place,Mexican Restaurant,Gas Station,Fast Food Restaurant,Pizza Place,Coffee Shop,American Restaurant,Hotel,Truck Stop,Zoo
169,80643,Bar,Motel,Mexican Restaurant,Construction & Landscaping,Lake,Business Service,Food & Drink Shop,Film Studio,Financial or Legal Service,Fishing Spot
170,80644,Lake,BBQ Joint,Farm,Café,Discount Store,Pizza Place,Hotel,Fondue Restaurant,Farmers Market,Fast Food Restaurant
171,80645,Mexican Restaurant,Convenience Store,Construction & Landscaping,Seafood Restaurant,Coffee Shop,Sandwich Place,Zoo,Flower Shop,Farm,Farmers Market
172,80651,Convenience Store,Grocery Store,Gas Station,Sandwich Place,Coffee Shop,American Restaurant,Discount Store,Fishing Store,Flower Shop,Flea Market
173,80654,Mexican Restaurant,Rest Area,Convenience Store,Hotel,Food,Zoo,Flower Shop,Farm,Farmers Market,Fast Food Restaurant
174,80701,Fast Food Restaurant,Mexican Restaurant,Convenience Store,Coffee Shop,Sandwich Place,Pizza Place,Pharmacy,Discount Store,Grocery Store,Chinese Restaurant
175,80720,Sandwich Place,Airport,Mountain,Racetrack,American Restaurant,Zoo,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service
176,80723,Fast Food Restaurant,Convenience Store,Pizza Place,History Museum,Discount Store,Truck Stop,Hotel,Zoo,Flower Shop,Farm
177,80728,Steakhouse,Paper / Office Supplies Store,Fondue Restaurant,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot,Fishing Store
178,80729,Construction & Landscaping,Zoo,Food,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot,Fishing Store
179,80731,Airport,Zoo,Food,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot,Fishing Store
180,80734,Sandwich Place,Auto Garage,Mobile Phone Shop,Hotel,Food,Fondue Restaurant,Farm,Farmers Market,Fast Food Restaurant,Film Studio
181,80735,Convenience Store,American Restaurant,Zoo,Food,Farm,Farmers Market,Fast Food Restaurant,Film Studio,Financial or Legal Service,Fishing Spot
